video_id,title,url,duration,tone,style,emotion,region_tags,language,duration_group,category
NPyJ7yzrX1E,"تريندات | ""متكهربة وملبوسة"".. مغربية تخيف الجمهور برقصها!",https://www.youtube.com/watch?v=NPyJ7yzrX1E,33,emotional,storytelling,fear,['Other'],Arabic,Up to 1 minute,society
kVidJnedcro,بين خصوصية الأمير وتلقائية زوجته المعروفة.. هاري وميغان في خلاف جديد بسبب طفليهما!,https://www.youtube.com/watch?v=kVidJnedcro,81,emotional,storytelling,other,['Global'],Arabic,1 to 2 minutes,entertainment
ly7wK-KW1GU,مؤتمر ترامب وبيبي كانت النية اختصاره فتطرق لكل شيء تقريبا.. من قصف نووي إيران إلى سعر البيض!,https://www.youtube.com/watch?v=ly7wK-KW1GU,100,satirical,other,other,['Global'],Mixed,1 to 2 minutes,politics
n6iNUnpZOoA,العالم يفقد أما كل دقيقتين بسبب الأوضاع الهشة . أما غزة تحديدا فباتت الجحيم خاصة للأمهات الحوامل.,https://www.youtube.com/watch?v=n6iNUnpZOoA,67,emotional,storytelling,sadness,"['Palestine', 'Levant', 'MENA']",Arabic,1 to 2 minutes,conflict
RLB8FtcU6qI,"دانييلا رحمة تنشر مقطعا يكشف تعرضها لمشكلة في عينها قبل تصوير مسلسل ""نفس"".. ما الذي حصل معها؟",https://www.youtube.com/watch?v=RLB8FtcU6qI,54,emotional,storytelling,sadness,['Other'],Arabic,Up to 1 minute,entertainment
u1ELDiAM9P4,طردتها مايكروسوفت لكنها تمسكت بموقفها.. ما جديد المهندسة ابتهال أبو السعد التي صرخت في وجه بيل جيتس؟,https://www.youtube.com/watch?v=u1ELDiAM9P4,92,emotional,storytelling,anger,['Global'],Arabic,1 to 2 minutes,technology
Z-6_RXMGhzw,كريستيانو جونيور في ورشة لصيانة السيارات تثير الجدل.. فما حقيقتها وهل غيرت السعودية طريقة عيش النجم؟,https://www.youtube.com/watch?v=Z-6_RXMGhzw,68,factual,storytelling,none,"['KSA', 'Gulf', 'MENA']",Arabic,1 to 2 minutes,sports
Dp54RVOqsAg,مهندس يستنفر الحكومة والشارع العراقيين بعد مقتله في السجن!فما قصة بشير خالد وعلاقته باللواء عباس علي,https://www.youtube.com/watch?v=Dp54RVOqsAg,77,factual,news report,none,['Other'],Arabic,1 to 2 minutes,crime
Tw6opCE75wc,"اعتدى أم لم يعتد على ابنته؟ وسام ""لام شمسية"" لا زال يثير الجدل بجملة يصرّ الجمهور بأنه قالها لزوجته",https://www.youtube.com/watch?v=Tw6opCE75wc,107,emotional,storytelling,anger,['MENA'],Arabic,1 to 2 minutes,entertainment
qPJs1UJ_yFQ,زيارة ماكرون لمصر مختلفة .. جولة بخان الخليلي ورحلة بالمترو ووجبة كشري.. والـ AI تكفل بالشيشة!,https://www.youtube.com/watch?v=qPJs1UJ_yFQ,55,satirical,storytelling,joy,"['Egypt', 'North Africa', 'MENA']",Arabic,Up to 1 minute,culture
GFvU05EM99k,يهود على القائمة السوداء ملاحقون وممنوعون من دخول إسرائيل مدى الحياة.. ما القصة؟,https://www.youtube.com/watch?v=GFvU05EM99k,82,confrontational,news report,anger,['Global'],Mixed,1 to 2 minutes,politics
AjFKIFeJhjk,"تريندات | ""بترضع قدامنا 😳”..أمومة نورة تستفز الجمهور!",https://www.youtube.com/watch?v=AjFKIFeJhjk,30,confrontational,casual report,anger,['Other'],Arabic,Up to 1 minute,society
2mXMDq5d_Ek,عطاس،حكة وسيلان أنف كيف يمكنك أن تخفف من أعراض الحساسية الموسمية التي تصيب حوالي ٣٠٪ من سكان العالم؟,https://www.youtube.com/watch?v=2mXMDq5d_Ek,68,factual,casual report,none,['Global'],Mixed,1 to 2 minutes,health
1GdgbiGfscQ,"هل عثر على ""تابوت العهد"" المزعوم عبر ما يسمى بتجربة ""الرؤية عن بعد""؟",https://www.youtube.com/watch?v=1GdgbiGfscQ,84,casual,documentary,other,['MENA'],Mixed,1 to 2 minutes,history
17HvzHHT3gU,"على أنغام فيروز مع ""نكهة"" الطفولة.. مايا دياب تعود لحيها القديم في لبنان وتأخذنا في جولة ذكريات",https://www.youtube.com/watch?v=17HvzHHT3gU,44,other,storytelling,other,['Other'],Mixed,Up to 1 minute,society
gjhXsl2YpaQ,"بين الإعلانات والترندات, ما هي السلوكيات التي يجب على مؤثري السوشال ميديا الالتزام بها؟",https://www.youtube.com/watch?v=gjhXsl2YpaQ,72,confrontational,casual report,anger,['Global'],English,1 to 2 minutes,society
Qk4sO1V0DfQ,"عنصرية أم دعاية؟.. مطعم تايلاندي يشترط للحصول على خصومات العبور من ""بوابة النحيفين فقط""",https://www.youtube.com/watch?v=Qk4sO1V0DfQ,48,casual,casual report,none,['Other'],English,Up to 1 minute,entertainment
KvNTkyMw01g,لأول مرة في العالم جامعة تقبل AI كطالب، فهل نجح في اختبار القبول؟,https://www.youtube.com/watch?v=KvNTkyMw01g,47,satirical,storytelling,other,['Global'],Mixed,Up to 1 minute,education
YfXGGzEv-jU,"تريندات | ""أسلم عشانها؟"".. كتب كتاب نارين ورامي يثير الجدل!",https://www.youtube.com/watch?v=YfXGGzEv-jU,39,emotional,storytelling,other,['Other'],Arabic,Up to 1 minute,society
w17yb1r0D4A,بين الهجرة نحو أميركا وأوروبا والعمل من خارج الحدود.. هل ينهار قطاع التكنولوجيا بإسرائيل؟,https://www.youtube.com/watch?v=w17yb1r0D4A,61,factual,news report,none,['Other'],Mixed,1 to 2 minutes,technology
63VltKJhoaE,ماذا ترتدي المغنية اللبنانية فرح نخول في حفلة.. اجتماع عمل.. أو الجيم؟,https://www.youtube.com/watch?v=63VltKJhoaE,60,casual,storytelling,none,['Other'],Arabic,Up to 1 minute,entertainment
3nEGpagF4gc,مسلسل آسر النسخة المعربة من المسلسل التركي الشهير إيزيل.. بداية شيقة وأحداث مخيفة!,https://www.youtube.com/watch?v=3nEGpagF4gc,71,emotional,other,anger,['Other'],Mixed,1 to 2 minutes,entertainment
nWrWd6t9OPU,أصالة والشامي.. هل يجتمعان؟ وماذا قالت عن حفلها في سوريا لأول مرة بعد سقوط النظام؟,https://www.youtube.com/watch?v=nWrWd6t9OPU,66,emotional,storytelling,hope,"['Syria', 'Levant', 'MENA']",Arabic,1 to 2 minutes,entertainment
Xoq6DQPGBNY,قبعات كبيرة وصغيرة، غريبة ومميزة، ما سر ارتدائها في سباقات الخيول ؟,https://www.youtube.com/watch?v=Xoq6DQPGBNY,73,casual,other,pride,['Global'],Arabic,1 to 2 minutes,culture
mNSuJFcbD4w,واتساب يشعل أزمة باتحاد الكرة العراقي، والمتهم رئيسه عدنان درجال. فما حقيقة تهجمه على أعضاء الاتحاد؟,https://www.youtube.com/watch?v=mNSuJFcbD4w,69,confrontational,news report,anger,['Other'],Arabic,1 to 2 minutes,sports
C-DhGWiSQbw,"ترامب سيموت خلال أيام.. هذا أحدث فيديو لتنبؤات مسلسل The Simpsons, فأي من هذه الفيديوهات حقيقي؟",https://www.youtube.com/watch?v=C-DhGWiSQbw,67,satirical,storytelling,other,['Global'],Arabic,1 to 2 minutes,entertainment
HadKWnK6nY8,ترند جديد على تيك توك يضعك في تحد مباشر مع طائرتك.. فإما أن تنجح وإما أن تخسر رحلتك!,https://www.youtube.com/watch?v=HadKWnK6nY8,65,satirical,storytelling,other,['Global'],Mixed,1 to 2 minutes,society
XbuUSEU50Jg,أليكسا تسمع أكثر مما تتخيل وكل أسئلتك وحتى همسات أطفالك ستكون مخزنة لدى آمازون!,https://www.youtube.com/watch?v=XbuUSEU50Jg,44,confrontational,news report,fear,['Global'],English,Up to 1 minute,technology
90XfJPlp89g,ترامب يعترف بانهيار صفقة تيك توك ويهوّن من انهيار الأسواق العالمية بسبب حرب الرسوم الجمركية,https://www.youtube.com/watch?v=90XfJPlp89g,55,confrontational,casual report,anger,['Global'],English,Up to 1 minute,economy
lAAX050rQbA,تجربة تصوير أنالوغ تعيدك لزمن الخمسينات بكاميرا كلاسيكية وفيلم حقيقي.. كيف كانت تجربة رنيم؟,https://www.youtube.com/watch?v=lAAX050rQbA,66,other,storytelling,other,['Global'],Arabic,1 to 2 minutes,culture
7w_TUtktfEw,ماكرون يتجوّل في قلب القاهرة التاريخية وحي خان الخليلي برفقة الرئيس المصري عبد الفتاح السيسي,https://www.youtube.com/watch?v=7w_TUtktfEw,47,emotional,storytelling,pride,['Other'],Arabic,Up to 1 minute,culture
pWBsCecZM_Y,كيف وصلت رسوم ترامب إلى طلاب المدارس الأميركية وعكرت عليهم موسمهم الدراسي؟,https://www.youtube.com/watch?v=pWBsCecZM_Y,93,factual,news report,none,['Global'],Arabic,1 to 2 minutes,politics
Ht-mqeOO_SM,"""بعرف مين البخيل"".. إبراهيم الصمادي يكشف صفات شخصيات برنامج دبي بلينغ",https://www.youtube.com/watch?v=Ht-mqeOO_SM,110,casual,storytelling,none,"['UAE', 'Gulf', 'MENA']",Mixed,1 to 2 minutes,society
i20rFV7vMyA,"ماكرون مهموم بالبحث عن حلول بشأن الجمارك الأميركية بينما رئيس وزرائه يروج لـ""برغر كينغ""!",https://www.youtube.com/watch?v=i20rFV7vMyA,78,satirical,news report,other,['Global'],Mixed,1 to 2 minutes,economy
9EzGP2bDcjA,استغاثة مؤثرة لأب مصري اتهم مستشفى 57357 برفض استقبال ابنته المصابة بالسرطان..,https://www.youtube.com/watch?v=9EzGP2bDcjA,78,emotional,storytelling,sadness,"['Egypt', 'North Africa', 'MENA']",Mixed,1 to 2 minutes,health
we2Eh8vzmLw,حتى محبو الألعاب لم يسلموا.. قرارات ترامب الضريبية تهدد سوق الألعاب الإلكترونية!,https://www.youtube.com/watch?v=we2Eh8vzmLw,68,confrontational,casual report,anger,['Global'],Arabic,1 to 2 minutes,economy
-MZP1U4ni4k,احم حالك من فضائح إنستغرام بهذه الطريقة واسترجع كل ما فعلته على التطبيق!,https://www.youtube.com/watch?v=-MZP1U4ni4k,36,factual,casual report,none,['Global'],Arabic,Up to 1 minute,technology
W4fG6sICmI0,لا بأس إن نسيت بعضا من مستلزمات الرحلة !.. إذا كنت تخطط للذهاب إلى المتنزه تعرف على هذه الآداب,https://www.youtube.com/watch?v=W4fG6sICmI0,71,confrontational,casual report,anger,['Global'],English,1 to 2 minutes,society
1ehrD9MPFOU,"سبيد يغوض مغامرة رعب جديدة في الصين محلّقاً هذه المرة في ""السيارة الطائرة"" الكهربائية وذاتية القيادة",https://www.youtube.com/watch?v=1ehrD9MPFOU,58,emotional,casual report,other,['Global'],English,Up to 1 minute,entertainment
Y0mPqz_jKGs,دراسة علمية تؤكد: المال لا يشتري السعادة!.. معقول؟,https://www.youtube.com/watch?v=Y0mPqz_jKGs,39,satirical,casual report,other,['Global'],Arabic,Up to 1 minute,society
AOOOVYbNsbQ,"ميمز ""بايخة"" تجذب جيل Z في الوطن العربي.. ماذا نعرف عن ظاهرة AI brain rot؟",https://www.youtube.com/watch?v=AOOOVYbNsbQ,67,casual,other,none,['MENA'],Arabic,1 to 2 minutes,culture
unhD_j5muaM,احتلال تلال استراتيجية وإنشاء مواقع عسكرية وتعبيد شبكة طرق.. هل تصبح القنيطرة جسر إسرائيل إلى سوريا؟,https://www.youtube.com/watch?v=unhD_j5muaM,117,factual,news report,none,"['Syria', 'Levant', 'MENA']",Arabic,1 to 2 minutes,conflict
qJhQUx7--A0,طفلة مصرية تفقد عيونها في هجوم لصائدي القطارات.. من هؤلاء وما قصتهم؟,https://www.youtube.com/watch?v=qJhQUx7--A0,58,emotional,storytelling,sadness,"['Egypt', 'North Africa', 'MENA']",Arabic,Up to 1 minute,society
noEtYDZ6aFk,الملياردير الذي أسس أمازون بـ245 ألف دولار يطمح لامتلاك منصة على غرار ماسك وزوكربيرغ,https://www.youtube.com/watch?v=noEtYDZ6aFk,69,satirical,storytelling,other,['Global'],Mixed,1 to 2 minutes,economy
HB_qcpLa29s,"فيلم ""إسكندر"".. أكشن واعد لكن التكرار يُثقل الخطى. هل آن الأوان لتجديد أدوار سلمان خان؟",https://www.youtube.com/watch?v=HB_qcpLa29s,140,factual,casual report,none,"['UAE', 'Gulf', 'MENA']",Mixed,2 to 5 minutes,entertainment
VKxeeCoDgNA,ترامب يفرض ضرائب حتى على البطاريق في جزر متجمدة معزولة ويكشف عن ما هو أجمل من الحب في حياته.. ما هو؟,https://www.youtube.com/watch?v=VKxeeCoDgNA,145,satirical,other,other,['Global'],Arabic,2 to 5 minutes,economy
fDXSHd4MrdM,تركيا وإسرائيل تتبادلان رسائل تهدئة بعد أيام ساخنة على أراضي سوريا.. فهل ترتبان لتفاهمات عسكرية؟,https://www.youtube.com/watch?v=fDXSHd4MrdM,112,factual,news report,none,"['Syria', 'Levant', 'MENA']",Arabic,1 to 2 minutes,politics
elZEVi8YZ4g,الكابتن.. أكرم حسني يتحدث عن مسلسله الرمضاني وعن الأرواح التي واجهتها شخصيته في المسلسل,https://www.youtube.com/watch?v=elZEVi8YZ4g,90,other,storytelling,joy,['MENA'],Arabic,1 to 2 minutes,entertainment
qVgNBeZhN14,إكسسوار الجدات موضة 2025.. البروش يعود بقوة ويصبح القطعة الأكثر عصرية هذا الموسم,https://www.youtube.com/watch?v=qVgNBeZhN14,48,inspirational,storytelling,pride,['Global'],Arabic,Up to 1 minute,culture
aXNjJ7WQlyE,حرب قضائية بين أبناء مارادونا وعماتهم.. ما القصة؟,https://www.youtube.com/watch?v=aXNjJ7WQlyE,70,confrontational,news report,anger,['Global'],Arabic,1 to 2 minutes,sports
-fJ0024CEgk,"كيف دخل اليأس إلى قلب ""صانع السعادة"" في غزة؟..",https://www.youtube.com/watch?v=-fJ0024CEgk,80,emotional,storytelling,sadness,"['Palestine', 'Levant', 'MENA']",Arabic,1 to 2 minutes,society
Tzb2I8QOvAY,يانغ اختارت العيش في الحمّام لتوفر.. والنتيجة؟ 16 ألف متابع وحساب بنكي في ازدياد!,https://www.youtube.com/watch?v=Tzb2I8QOvAY,69,inspirational,storytelling,pride,['Other'],Mixed,1 to 2 minutes,society
hvb1nr1Y5ZM,"تلفزيون لبنان يفجر موجة غضب عقب منع مذيعة محجبة من الظهور والتلفزيون لديه ""رواية أخرى""",https://www.youtube.com/watch?v=hvb1nr1Y5ZM,92,confrontational,news report,anger,"['Lebanon', 'Levant', 'MENA']",Arabic,1 to 2 minutes,society
eB-zbtfy-XA,"هدية بشرية؟.. فاندام متهم بتلقي 5 نساء كـ""هدية"" من شبكة اتجار بالبشر خلال حدث خاص نظمه بنفسه!",https://www.youtube.com/watch?v=eB-zbtfy-XA,75,confrontational,news report,anger,['Global'],Arabic,1 to 2 minutes,crime
9nBJmcXqYeE,أشهر ستريمر على تويتش يجني 2 مليون دولار الشهر! قرصنة قناة Kai Cenat على تويتش وتسريب أرباحه الشهرية,https://www.youtube.com/watch?v=9nBJmcXqYeE,55,confrontational,news report,anger,['Global'],Mixed,Up to 1 minute,entertainment
9FC2Bor6xuY,ما الفرق بين روسيا وإسرائيل؟.. سؤال يربك رئيس يويفا والإجابة أغرب من المتوقع!,https://www.youtube.com/watch?v=9FC2Bor6xuY,67,confrontational,news report,anger,['Global'],Arabic,1 to 2 minutes,politics
j1v2SWoCnuE,طفلة عمرها 4 سنوات وفيديو على تيك توك يفتحان باب العالمية لكاتب مجهول!.. فما هو BookTok؟,https://www.youtube.com/watch?v=j1v2SWoCnuE,105,inspirational,storytelling,hope,['Global'],Arabic,1 to 2 minutes,culture
Bz_t3J6pkrc,قرار مفاجئ بمنع حارس البرغوث من دخول أرضية الملاعب وحصر تحركاته في غرف الغيار!,https://www.youtube.com/watch?v=Bz_t3J6pkrc,71,confrontational,storytelling,other,['Global'],Mixed,1 to 2 minutes,sports
grqZvom8TJo,?Arabic Roots in English Wordsهل تعلم أن الكثير من الكلمات الإنجليزية أصولها من اللغة,https://www.youtube.com/watch?v=grqZvom8TJo,59,factual,storytelling,none,['Global'],English,Up to 1 minute,culture
ONHv5L1Itac,عمر بيت الأحلام من تفل القهوة الي بتشربها بتحويله إلى أسمنت أرخص وأقوى!.. معقول؟,https://www.youtube.com/watch?v=ONHv5L1Itac,48,casual,casual report,other,['Global'],Arabic,Up to 1 minute,technology
lnnRUR0ODGs,السعر قد يصل إلى 10 آلاف دولار!.. أصبح الآن بإمكانك الاستعانة بخبراء لاختيار اسم لمولودك,https://www.youtube.com/watch?v=lnnRUR0ODGs,93,satirical,storytelling,other,['Global'],Arabic,1 to 2 minutes,society
bd2xbw-0Z84,"حرب مشاهدات و""تلطيش حكي"" بين ياسمين عبدالعزيز وأحمد العوضي.. فمن الفائز؟",https://www.youtube.com/watch?v=bd2xbw-0Z84,84,emotional,storytelling,pride,"['Egypt', 'North Africa', 'MENA']",Arabic,1 to 2 minutes,entertainment
